active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.24,0,0.0,0.0,0.0,0.0,60.0,2.0,12,-1,15,0.94,0.93,20,0.09,7.3312470430354875,120,0.75,0.008,12.8,8,6,20,238,-1.0,0,540,800,256,True,0.65,0.79,0.98,0.69,0.6,0.51,0.0,20,1,57,1.92,0,0.36,0.52
0.15,0,17.391666666666666,0.028439326025545598,0.0,0.08333333333333333,45.0,2.0,12,12,10,0.99,0.91,20,0.19,3.5891746051527336,120,0.86,0.063,39.1,8,6,30,240,0.7,1,540,640,256,True,0.6,0.6,0.991,0.61,0.52,0.53,-0.7720303369872271,30,1,58,3.18,1,0.38,0.56
0.09,1,0.0,0.0,0.0,0.0,120.0,-1.0,12,8,12,0.97,0.97,12,0.21,7.377691719415386,120,0.79,0.106,10.9,8,6,20,240,-1.0,0,540,800,600,True,0.57,0.62,0.988,0.71,0.57,0.52,0.0,40,1,59,2.78,0,0.4,0.45
0.08,1,0.0,0.0,0.0,0.0,45.0,2.0,-1,12,12,0.97,0.92,15,0.23,7.548307737714418,120,0.87,0.045,18.3,8,6,30,238,0.9,1,480,1280,400,True,0.54,0.65,0.977,0.78,0.59,0.52,0.0,40,1,60,2.43,0,0.23,0.51
0.22,0,19.958333333333332,0.011935859440515438,0.0,0.14166666666666666,120.0,2.0,8,8,15,0.95,0.9,15,0.24,3.6279516354018906,120,0.76,0.082,13.2,8,6,30,250,0.7,1,540,800,400,True,0.5,0.68,0.964,0.66,0.49,0.59,-0.8502820702797426,20,1,61,3.35,1,0.22,0.57
0.22,1,18.008333333333333,0.01106744548453698,0.0,0.20833333333333334,60.0,2.5,8,12,5,0.97,0.88,30,0.17,3.652104209254409,120,0.81,0.006,8.5,8,6,30,245,0.9,0,480,960,300,True,0.51,0.86,0.963,0.84,0.55,0.51,-0.686549610591065,30,0,62,1.5,1,0.19,0.48
0.11,1,0.041666666666666664,0.00026751036445299783,0.0,0.0,240.0,2.5,8,12,10,0.99,0.97,12,0.25,3.7462664816465114,120,0.86,0.017,38.3,8,6,50,250,0.95,0,720,800,300,True,0.68,0.62,0.976,0.7,0.55,0.63,-0.0019495781511068345,30,1,63,3.28,1,0.21,0.55
0.14,0,19.858333333333334,0.030248023279839092,0.0,0.08333333333333333,45.0,-1.0,8,12,15,0.95,0.89,12,0.15,3.5946127738942044,120,0.88,0.075,14.4,8,6,30,250,0.7,1,540,800,600,True,0.62,0.76,0.99,0.71,0.62,0.56,-0.8944593216934144,40,1,64,1.29,1,0.4,0.5
0.11,0,13.291666666666666,0.008900247224503093,0.0,0.025,60.0,-1.0,8,8,10,0.99,0.92,25,0.15,3.629086665368852,120,0.78,0.117,29.0,8,6,30,240,0.7,1,540,960,400,True,0.67,0.9,0.98,0.77,0.49,0.48,-0.6351332097210813,20,0,65,1.44,1,0.31,0.59
0.1,0,10.358333333333333,0.004596541242467033,0.0,0.025,240.0,2.5,-1,-1,15,0.96,0.95,25,0.16,3.6331804437403825,120,0.75,0.105,9.1,8,6,30,238,0.9,0,540,960,256,True,0.75,0.87,0.957,0.77,0.46,0.58,-0.49061839604543345,40,0,66,1.63,1,0.28,0.46
0.18,1,14.266666666666667,0.005584771910475361,0.0,0.008333333333333333,120.0,-1.0,-1,-1,8,0.98,0.91,12,0.06,3.621205629749309,120,0.8,0.104,24.3,8,6,60,238,0.9,0,720,1280,400,True,0.56,0.76,0.972,0.91,0.49,0.45,-0.7022076140447618,30,1,67,2.34,1,0.36,0.54
0.12,1,1.1916666666666667,0.0048480217655499785,0.0,0.03333333333333333,240.0,2.0,8,-1,15,0.99,0.97,25,0.2,3.6808750030258537,120,0.92,0.041,23.2,8,6,20,238,0.95,1,800,960,600,True,0.58,0.76,0.93,0.77,0.45,0.47,-0.023825989117225013,30,1,68,3.16,1,0.32,0.6
0.15,1,12.075,0.007184614027066836,0.0,0.11666666666666667,45.0,2.0,12,-1,12,0.99,0.93,20,0.13,3.6427872015857568,120,0.86,0.111,9.4,8,6,20,245,0.9,0,800,800,256,True,0.74,0.71,0.98,0.74,0.47,0.53,-0.4834910263198003,20,0,69,1.52,1,0.18,0.54
0.14,1,11.358333333333333,0.006192126930765218,0.0,0.1,240.0,-1.0,12,8,12,0.97,0.96,25,0.22,3.679757902229716,120,0.85,0.069,25.4,8,6,30,250,0.7,1,720,800,256,True,0.52,0.81,0.991,0.73,0.54,0.62,-0.4648206032012844,30,0,70,3.17,1,0.19,0.59
0.18,0,18.225,0.012625795619355309,0.0,0.125,240.0,2.5,12,-1,10,0.98,0.89,20,0.16,3.6975559668812097,120,0.84,0.036,39.7,8,6,60,250,0.7,1,800,800,400,True,0.57,0.69,0.939,0.74,0.55,0.51,-0.779937102190322,30,1,71,2.57,1,0.19,0.45
0.23,0,0.0,0.0,0.0,0.0,240.0,2.0,-1,12,12,0.97,0.94,20,0.07,7.348572066479433,120,0.75,0.073,39.3,8,6,50,245,0.7,0,720,640,600,True,0.51,0.7,0.972,0.73,0.56,0.47,0.0,20,1,72,1.36,0,0.25,0.56
0.1,1,16.033333333333335,0.014763171430677175,0.0,0.09166666666666666,120.0,-1.0,12,8,10,0.95,0.94,15,0.16,3.54424176922925,120,0.81,0.048,11.3,8,6,60,245,0.7,0,800,800,600,True,0.61,0.76,0.963,0.72,0.53,0.6,-0.7026184142846615,30,1,73,2.72,1,0.23,0.46
0.12,0,15.725,0.012642880363596811,0.0,0.041666666666666664,45.0,2.0,8,-1,8,0.98,0.94,30,0.2,3.6309327420841893,120,0.76,0.01,18.3,8,6,20,238,-1.0,0,480,640,256,True,0.68,0.78,0.948,0.85,0.46,0.57,-0.7382618931515332,30,0,74,2.27,1,0.38,0.51
0.09,1,6.925,0.013701836185322868,0.0,0.025,120.0,2.0,-1,8,12,0.95,0.96,25,0.09,3.711345305496948,120,0.83,0.068,39.8,8,6,50,250,0.8,0,480,640,600,True,0.57,0.72,0.961,0.65,0.53,0.5,-0.31439908190733845,40,0,75,2.17,1,0.38,0.6
0.19,1,0.0,0.0,0.0,0.0,120.0,2.5,-1,12,12,0.96,0.98,20,0.11,7.470006597671375,120,0.82,0.065,32.4,8,6,60,240,-1.0,0,720,960,400,True,0.71,0.89,0.971,0.81,0.59,0.46,0.0,40,1,76,2.19,0,0.25,0.49
0.2,0,0.0,0.0,0.0,0.0,120.0,-1.0,12,-1,5,0.97,0.94,15,0.19,7.558060537527042,120,0.79,0.048,32.4,8,6,20,238,0.95,1,800,640,300,True,0.62,0.89,0.96,0.73,0.59,0.52,0.0,40,0,77,2.24,0,0.32,0.57
0.13,1,0.0,0.0,0.0,0.0,45.0,2.5,12,8,5,0.99,0.96,30,0.14,7.572235224168736,120,0.87,0.051,11.4,8,6,30,250,0.9,0,720,960,256,True,0.7,0.64,0.979,0.73,0.48,0.61,0.0,20,0,78,1.41,0,0.2,0.58
0.17,1,14.783333333333333,0.007414973423712784,0.0,0.041666666666666664,120.0,2.5,-1,12,10,0.99,0.91,20,0.19,3.654111862561221,120,0.79,0.026,15.9,8,6,30,245,0.9,0,800,960,600,True,0.69,0.76,0.988,0.86,0.63,0.57,-0.6937925132881441,20,1,79,1.62,1,0.28,0.58
0.09,0,15.125,0.00523379916118251,0.0,0.11666666666666667,45.0,-1.0,8,8,8,0.95,0.88,25,0.22,3.6283477034770852,120,0.77,0.019,25.5,8,6,20,238,0.95,1,480,640,400,True,0.71,0.68,0.941,0.88,0.57,0.62,-0.6369664337527424,40,0,80,1.69,1,0.2,0.5
0.19,0,19.875,0.012357857821302281,0.0,0.10833333333333334,45.0,-1.0,-1,8,12,0.94,0.88,15,0.1,3.632397738758137,120,0.82,0.115,27.8,8,6,30,240,0.8,1,540,960,256,True,0.68,0.7,0.994,0.89,0.55,0.51,-0.8792377377560161,40,0,81,2.5,1,0.24,0.49
0.16,1,0.0,0.0,0.0,0.0,60.0,-1.0,8,8,12,0.98,0.91,25,0.08,7.738756618261481,120,0.78,0.033,16.1,8,6,20,240,0.8,0,480,960,300,True,0.55,0.83,0.994,0.75,0.47,0.64,0.0,30,0,82,2.23,0,0.39,0.55
0.24,1,14.958333333333334,0.016468950195444955,0.0,0.03333333333333333,60.0,2.5,-1,12,10,0.97,0.92,25,0.1,3.6642312132961417,120,0.81,0.107,20.7,8,6,50,238,0.9,0,800,640,256,True,0.72,0.67,0.992,0.93,0.63,0.62,-0.7063488582356107,20,1,83,2.29,1,0.36,0.59
